Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46
RIBO-RRNA-KO-R1.1-trimmed.SE.paired.trim.fastq.gz	(18, 172940.0)	(20, 256655.0)	(22, 171595.0)	(24, 270599.0)	(26, 348209.0)	(28, 1516328.0)	(30, 7349403.0)	(32, 10741395.0)	(34, 7118025.0)	(36, 5197538.0)	(38, 8130146.0)	(40, 3444422.0)	(42, 543868.0)	(44, 394270.0)	(46, 329714.0)	(48, 302028.0)	(50, 427373.0)	(52, 85990.0)	(54, 15338.0)	(56, 5634.0)	(58, 2810.0)	(60, 3495.0)	(62, 3227.0)	(64, 7270.0)	(66, 2974.0)	(68, 1187.0)	(70, 659.0)	(72, 494.0)	(74, 754.0)	(76, 10306.0)																	
RIBO-RRNA-KO-R1.2-filtered.unmapped.fastq.gz	(18, 62362.0)	(20, 75978.0)	(22, 69859.0)	(24, 135786.0)	(26, 220162.0)	(28, 1160072.0)	(30, 3446608.0)	(32, 1135718.0)	(34, 459021.0)	(36, 352549.0)	(38, 236711.0)	(40, 177311.0)	(42, 142844.0)	(44, 134643.0)	(46, 124273.0)	(48, 85932.0)	(50, 60356.0)	(52, 29279.0)	(54, 10149.0)	(56, 4342.0)	(58, 2525.0)	(60, 3317.0)	(62, 3075.0)	(64, 7182.0)	(66, 2922.0)	(68, 1159.0)	(70, 635.0)	(72, 494.0)	(74, 752.0)	(76, 10285.0)																	
RIBO-RRNA-KO-R2.0-raw.fastq	(76, 50180944.0)																																														
RIBO-RRNA-KO-R2.1-trimmed.SE.paired.trim.fastq.gz	(18, 171877.0)	(20, 261643.0)	(22, 185763.0)	(24, 325549.0)	(26, 435668.0)	(28, 2536249.0)	(30, 8579485.0)	(32, 7926052.0)	(34, 6494906.0)	(36, 4196904.0)	(38, 4027162.0)	(40, 2084788.0)	(42, 985543.0)	(44, 770805.0)	(46, 673409.0)	(48, 537124.0)	(50, 441532.0)	(52, 140996.0)	(54, 21485.0)	(56, 6617.0)	(58, 2901.0)	(60, 3748.0)	(62, 3332.0)	(64, 7963.0)	(66, 2714.0)	(68, 1309.0)	(70, 842.0)	(72, 699.0)	(74, 977.0)	(76, 10377.0)																	
RIBO-RRNA-KO-R2.2-filtered.unmapped.fastq.gz	(18, 74203.0)	(20, 96860.0)	(22, 83277.0)	(24, 187500.0)	(26, 254803.0)	(28, 1521596.0)	(30, 3767666.0)	(32, 1487300.0)	(34, 1030177.0)	(36, 947871.0)	(38, 720276.0)	(40, 579416.0)	(42, 442544.0)	(44, 372583.0)	(46, 334684.0)	(48, 251583.0)	(50, 203787.0)	(52, 72107.0)	(54, 13707.0)	(56, 4643.0)	(58, 2559.0)	(60, 3541.0)	(62, 3202.0)	(64, 7842.0)	(66, 2621.0)	(68, 1247.0)	(70, 779.0)	(72, 699.0)	(74, 969.0)	(76, 10315.0)																	
RIBO-RRNA-KO-R3.0-raw.fastq	(76, 44792721.0)																																														
RIBO-RRNA-KO-R3.1-trimmed.SE.paired.trim.fastq.gz	(18, 202784.0)	(20, 235432.0)	(22, 276387.0)	(24, 861655.0)	(26, 834277.0)	(28, 4009754.0)	(30, 8110377.0)	(32, 7259710.0)	(34, 3807313.0)	(36, 3070933.0)	(38, 3740327.0)	(40, 1372846.0)	(42, 345068.0)	(44, 271213.0)	(46, 207619.0)	(48, 167208.0)	(50, 181020.0)	(52, 53030.0)	(54, 11551.0)	(56, 4347.0)	(58, 2377.0)	(60, 3192.0)	(62, 3106.0)	(64, 7930.0)	(66, 2999.0)	(68, 1150.0)	(70, 783.0)	(72, 674.0)	(74, 916.0)	(76, 12456.0)																	
RIBO-RRNA-KO-R3.2-filtered.unmapped.fastq.gz	(18, 92262.0)	(20, 125431.0)	(22, 170268.0)	(24, 757659.0)	(26, 684734.0)	(28, 2813912.0)	(30, 3878815.0)	(32, 742534.0)	(34, 386000.0)	(36, 290181.0)	(38, 224115.0)	(40, 172795.0)	(42, 125943.0)	(44, 114283.0)	(46, 93135.0)	(48, 66827.0)	(50, 50943.0)	(52, 24185.0)	(54, 8055.0)	(56, 3569.0)	(58, 2239.0)	(60, 3108.0)	(62, 3042.0)	(64, 7880.0)	(66, 2969.0)	(68, 1117.0)	(70, 764.0)	(72, 673.0)	(74, 915.0)	(76, 12426.0)																	
RNA-HELA-R1.0-raw.fastq	(76, 64429688.0)																																														
RNA-HELA-R1.1-trimmed.SE.paired.trim.fastq.gz	(30, 45429.0)	(31, 46780.0)	(32, 55785.0)	(33, 66582.0)	(34, 99564.0)	(35, 180128.0)	(36, 308417.0)	(37, 660719.0)	(38, 1157958.0)	(39, 1449358.0)	(40, 1660277.0)	(41, 1649470.0)	(42, 1653038.0)	(43, 1694164.0)	(44, 1600884.0)	(45, 2077692.0)	(46, 1567526.0)	(47, 1538855.0)	(48, 1512282.0)	(49, 1455076.0)	(50, 1421051.0)	(51, 1449073.0)	(52, 1394400.0)	(53, 1307199.0)	(54, 1273196.0)	(55, 1284632.0)	(56, 1230878.0)	(57, 1264071.0)	(58, 1210628.0)	(59, 1218072.0)	(60, 35204.0)	(61, 39497.0)	(62, 39330.0)	(63, 38257.0)	(64, 41055.0)	(65, 43663.0)	(66, 48122.0)	(67, 44808.0)	(68, 50870.0)	(69, 58508.0)	(70, 60949.0)	(71, 95125.0)	(72, 95494.0)	(73, 124471.0)	(74, 531780.0)	(75, 846162.0)	(76, 20747289.0)
RNA-HELA-R2.0-raw.fastq	(76, 65892929.0)																																														
RNA-HELA-R2.1-trimmed.SE.paired.trim.fastq.gz	(30, 22770.0)	(31, 23779.0)	(32, 28098.0)	(33, 33894.0)	(34, 49269.0)	(35, 72976.0)	(36, 83335.0)	(37, 139346.0)	(38, 332655.0)	(39, 791462.0)	(40, 1412981.0)	(41, 1875913.0)	(42, 1860262.0)	(43, 1979635.0)	(44, 1868990.0)	(45, 2288501.0)	(46, 1768857.0)	(47, 1757091.0)	(48, 1712297.0)	(49, 1667043.0)	(50, 1644505.0)	(51, 1738863.0)	(52, 1622942.0)	(53, 1531854.0)	(54, 1470143.0)	(55, 1452360.0)	(56, 1425679.0)	(57, 1444947.0)	(58, 1351936.0)	(59, 1361152.0)	(60, 43561.0)	(61, 48605.0)	(62, 49058.0)	(63, 48084.0)	(64, 50926.0)	(65, 54178.0)	(66, 60237.0)	(67, 56002.0)	(68, 62888.0)	(69, 72516.0)	(70, 75266.0)	(71, 117588.0)	(72, 115875.0)	(73, 151962.0)	(74, 652914.0)	(75, 1031963.0)	(76, 25322532.0)
RNA-HELA-R3.0-raw.fastq	(76, 68160780.0)																																														
RNA-HELA-R3.1-trimmed.SE.paired.trim.fastq.gz	(30, 10524.0)	(31, 10056.0)	(32, 12201.0)	(33, 14894.0)	(34, 21141.0)	(35, 31842.0)	(36, 36934.0)	(37, 51979.0)	(38, 79816.0)	(39, 161215.0)	(40, 456935.0)	(41, 1184276.0)	(42, 1728541.0)	(43, 2047307.0)	(44, 1977067.0)	(45, 2228436.0)	(46, 2028653.0)	(47, 2008640.0)	(48, 1991387.0)	(49, 1978798.0)	(50, 1948054.0)	(51, 2048388.0)	(52, 1921821.0)	(53, 1802197.0)	(54, 1746801.0)	(55, 1688062.0)	(56, 1660871.0)	(57, 1633848.0)	(58, 1524418.0)	(59, 1515456.0)	(60, 35478.0)	(61, 40643.0)	(62, 39563.0)	(63, 40056.0)	(64, 44680.0)	(65, 48093.0)	(66, 55304.0)	(67, 50922.0)	(68, 58709.0)	(69, 70079.0)	(70, 75984.0)	(71, 122932.0)	(72, 121478.0)	(73, 165348.0)	(74, 729516.0)	(75, 1176620.0)	(76, 28615999.0)
RNA-RRNA-KO-R1.0-raw.fastq	(76, 57235829.0)																																														
RNA-RRNA-KO-R1.1-trimmed.SE.paired.trim.fastq.gz	(30, 24665.0)	(31, 26023.0)	(32, 30288.0)	(33, 35465.0)	(34, 49224.0)	(35, 72769.0)	(36, 92631.0)	(37, 146079.0)	(38, 215256.0)	(39, 421450.0)	(40, 931716.0)	(41, 1571195.0)	(42, 1765868.0)	(43, 1863890.0)	(44, 1688003.0)	(45, 1792904.0)	(46, 1690957.0)	(47, 1667931.0)	(48, 1637551.0)	(49, 1581661.0)	(50, 1615460.0)	(51, 1728570.0)	(52, 1555121.0)	(53, 1446465.0)	(54, 1408771.0)	(55, 1400723.0)	(56, 1359583.0)	(57, 1373280.0)	(58, 1269879.0)	(59, 1271806.0)	(60, 21418.0)	(61, 24618.0)	(62, 23512.0)	(63, 23765.0)	(64, 27092.0)	(65, 29121.0)	(66, 34639.0)	(67, 32547.0)	(68, 38082.0)	(69, 46179.0)	(70, 49667.0)	(71, 83125.0)	(72, 81275.0)	(73, 110676.0)	(74, 490619.0)	(75, 782736.0)	(76, 20920792.0)
RNA-RRNA-KO-R2.0-raw.fastq	(76, 61035120.0)																																														
RNA-RRNA-KO-R2.1-trimmed.SE.paired.trim.fastq.gz	(30, 15207.0)	(31, 17511.0)	(32, 21565.0)	(33, 26857.0)	(34, 38967.0)	(35, 67098.0)	(36, 148449.0)	(37, 524016.0)	(38, 1234186.0)	(39, 1778567.0)	(40, 2010816.0)	(41, 2059550.0)	(42, 2068286.0)	(43, 2029959.0)	(44, 1870120.0)	(45, 2067395.0)	(46, 1812247.0)	(47, 1781908.0)	(48, 1731602.0)	(49, 1656121.0)	(50, 1670898.0)	(51, 1714057.0)	(52, 1579992.0)	(53, 1467508.0)	(54, 1419166.0)	(55, 1437862.0)	(56, 1386637.0)	(57, 1337033.0)	(58, 1256644.0)	(59, 1251453.0)	(60, 27161.0)	(61, 30910.0)	(62, 30087.0)	(63, 29779.0)	(64, 33016.0)	(65, 35641.0)	(66, 40499.0)	(67, 37863.0)	(68, 43644.0)	(69, 51905.0)	(70, 55456.0)	(71, 89350.0)	(72, 88434.0)	(73, 118853.0)	(74, 522452.0)	(75, 831963.0)	(76, 20790901.0)
RNA-RRNA-KO-R3.0-raw.fastq	(76, 58610292.0)																																														
RNA-RRNA-KO-R3.1-trimmed.SE.paired.trim.fastq.gz	(30, 24866.0)	(31, 28406.0)	(32, 35334.0)	(33, 44733.0)	(34, 76897.0)	(35, 213343.0)	(36, 638072.0)	(37, 1496456.0)	(38, 2018880.0)	(39, 2143671.0)	(40, 2167514.0)	(41, 2098815.0)	(42, 2085012.0)	(43, 2008112.0)	(44, 1787812.0)	(45, 1910356.0)	(46, 1734971.0)	(47, 1688654.0)	(48, 1628755.0)	(49, 1525864.0)	(50, 1580737.0)	(51, 1598794.0)	(52, 1421909.0)	(53, 1325658.0)	(54, 1304268.0)	(55, 1334627.0)	(56, 1274306.0)	(57, 1286492.0)	(58, 1197805.0)	(59, 1203683.0)	(60, 18343.0)	(61, 20769.0)	(62, 19915.0)	(63, 19714.0)	(64, 22120.0)	(65, 24311.0)	(66, 27959.0)	(67, 26241.0)	(68, 30152.0)	(69, 36115.0)	(70, 39132.0)	(71, 63772.0)	(72, 63148.0)	(73, 84842.0)	(74, 379059.0)	(75, 592802.0)	(76, 16183921.0)
