Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
RNA-HELA-R1.1-trimmed.SE.paired.trim.fastq.gz	RNA-HELA-R1.1-trimmed.SE.paired.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	64429688.0	4.8 Gbp	0.0	20-76	48.0	24.644093824490778	75.41170194708998	76	pass	pass	pass	fail	fail	pass	warn	fail	fail	fail
RNA-HELA-R2.0-raw.fastq	RNA-HELA-R2.0-raw.fastq	Conventional base calls	Sanger / Illumina 1.9	65892929.0	5 Gbp	0.0	76.0	48.0	23.70816378298481	76.0	76	pass	pass	pass	fail	fail	pass	pass	fail	fail	fail
RNA-HELA-R2.1-trimmed.SE.paired.trim.fastq.gz	RNA-HELA-R2.1-trimmed.SE.paired.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	65892929.0	4.9 Gbp	0.0	20-76	48.0	23.67502966689054	75.30889629295429	76	pass	pass	pass	fail	fail	pass	warn	fail	fail	fail
RNA-HELA-R3.0-raw.fastq	RNA-HELA-R3.0-raw.fastq	Conventional base calls	Sanger / Illumina 1.9	68160780.0	5.1 Gbp	0.0	76.0	49.0	25.027714309210808	76.0	76	pass	pass	pass	warn	fail	pass	pass	fail	fail	fail
RNA-HELA-R3.1-trimmed.SE.paired.trim.fastq.gz	RNA-HELA-R3.1-trimmed.SE.paired.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	68160780.0	5.1 Gbp	0.0	20-76	49.0	25.03065922530779	75.80642272579627	76	pass	pass	pass	warn	fail	pass	warn	fail	fail	fail
RNA-RRNA-KO-R1.0-raw.fastq	RNA-RRNA-KO-R1.0-raw.fastq	Conventional base calls	Sanger / Illumina 1.9	57235829.0	4.3 Gbp	0.0	76.0	50.0	22.628018409365957	76.0	76	pass	pass	pass	fail	fail	pass	pass	fail	fail	fail
RNA-RRNA-KO-R1.1-trimmed.SE.paired.trim.fastq.gz	RNA-RRNA-KO-R1.1-trimmed.SE.paired.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	57235829.0	4.3 Gbp	0.0	20-76	50.0	22.63703345791562	75.84216132346052	76	pass	pass	pass	fail	fail	pass	warn	fail	fail	fail
RNA-RRNA-KO-R2.0-raw.fastq	RNA-RRNA-KO-R2.0-raw.fastq	Conventional base calls	Sanger / Illumina 1.9	61035120.0	4.6 Gbp	0.0	76.0	49.0	26.934277629957275	76.0	76	pass	pass	pass	fail	fail	pass	pass	fail	fail	fail
RNA-RRNA-KO-R2.1-trimmed.SE.paired.trim.fastq.gz	RNA-RRNA-KO-R2.1-trimmed.SE.paired.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	61035120.0	4.6 Gbp	0.0	20-76	49.0	26.93666473897417	75.82254927982447	76	pass	pass	pass	fail	fail	pass	warn	fail	fail	fail
RNA-RRNA-KO-R3.0-raw.fastq	RNA-RRNA-KO-R3.0-raw.fastq	Conventional base calls	Sanger / Illumina 1.9	58610292.0	4.4 Gbp	0.0	76.0	50.0	17.996760114616983	76.0	76	pass	pass	pass	fail	fail	pass	pass	fail	fail	fail
RNA-RRNA-KO-R3.1-trimmed.SE.paired.trim.fastq.gz	RNA-RRNA-KO-R3.1-trimmed.SE.paired.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	58610292.0	4.4 Gbp	0.0	20-76	50.0	17.997736268049415	75.89239064019678	76	pass	pass	pass	fail	fail	pass	warn	fail	fail	fail
