Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
RIBO-RRNA-KO-R2.1-trimmed.SE.paired.trim.fastq.gz	(1.0, 6.629830503238214)	(2.0, 3.1666686451071167)	(3.0, 1.7587648836951932)	(4.0, 1.1194840025889943)	(5.0, 0.7919813267682507)	(6.0, 0.6045391652551458)	(7.0, 0.5008662982712563)	(8.0, 0.422708644055198)	(9.0, 0.3761323361848117)	('>10', 5.7432768696373255)	('>50', 2.7166489406713943)	('>100', 7.503907525172377)	('>500', 3.965507489444236)	('>1k', 11.359767657312833)	('>5k', 5.303756646082226)	('>10k+', 48.036159066515324)
RIBO-RRNA-KO-R2.2-filtered.unmapped.fastq.gz	(1.0, 6.608318978814943)	(2.0, 3.1671039755075077)	(3.0, 1.7589560899750216)	(4.0, 1.1206903693750727)	(5.0, 0.7927170076540604)	(6.0, 0.6036566298221411)	(7.0, 0.49732369239122887)	(8.0, 0.42507341460738984)	(9.0, 0.3757128876058198)	('>10', 5.73993080176955)	('>50', 2.711418316695636)	('>100', 7.499372562898171)	('>500', 3.966198942768797)	('>1k', 11.309848904874155)	('>5k', 5.261454248155694)	('>10k+', 48.16222317708477)
RIBO-RRNA-KO-R3.0-raw.fastq	(1.0, 7.138728323667251)	(2.0, 2.8851443005169424)	(3.0, 1.5528941006570696)	(4.0, 0.9938156767961753)	(5.0, 0.7171395621476125)	(6.0, 0.5795364285017799)	(7.0, 0.47515070788210956)	(8.0, 0.41495375271269436)	(9.0, 0.3954237846207014)	('>10', 5.234649569865361)	('>50', 2.120343583987157)	('>100', 5.517608012521168)	('>500', 3.098397392822234)	('>1k', 9.222597363188918)	('>5k', 5.922285324257962)	('>10k+', 53.73133211585495)
RIBO-RRNA-KO-R3.1-trimmed.SE.paired.trim.fastq.gz	(1.0, 7.048459509625396)	(2.0, 2.888170855997467)	(3.0, 1.5448068584497359)	(4.0, 0.995302805462446)	(5.0, 0.7210539612988078)	(6.0, 0.5799923877411349)	(7.0, 0.4753476780048059)	(8.0, 0.41862358124899834)	(9.0, 0.395049896704082)	('>10', 5.244908887869163)	('>50', 2.130937007217254)	('>100', 5.555122469908601)	('>500', 3.105607147358368)	('>1k', 9.287919493348605)	('>5k', 5.936168168314875)	('>10k+', 53.67252929145027)
RIBO-RRNA-KO-R3.2-filtered.unmapped.fastq.gz	(1.0, 7.022614639381509)	(2.0, 2.888545786870166)	(3.0, 1.542348340089629)	(4.0, 0.992980322750471)	(5.0, 0.7196714384938628)	(6.0, 0.5770751730458601)	(7.0, 0.4737981610814771)	(8.0, 0.41803528917448257)	(9.0, 0.39352694594905036)	('>10', 5.232377532972528)	('>50', 2.1259877263661457)	('>100', 5.541985106996998)	('>500', 3.1055945765468986)	('>1k', 9.224891447182182)	('>5k', 5.931858746499506)	('>10k+', 53.80870876659923)
RNA-HELA-R1.0-raw.fastq	(1.0, 18.041678967215606)	(2.0, 7.959000926122277)	(3.0, 3.60286127846589)	(4.0, 1.8710318806971125)	(5.0, 1.1790730421000755)	(6.0, 0.8650470808224657)	(7.0, 0.687213676168388)	(8.0, 0.5365307429224615)	(9.0, 0.4509671797173388)	('>10', 6.846964008069466)	('>50', 2.9119723937074733)	('>100', 6.7794182232899445)	('>500', 3.5378488862938116)	('>1k', 9.937513824272026)	('>5k', 4.461343681555017)	('>10k+', 30.331534208580706)
RNA-HELA-R1.1-trimmed.SE.paired.trim.fastq.gz	(1.0, 17.985738025157318)	(2.0, 7.949143573373762)	(3.0, 3.5953414023461527)	(4.0, 1.8693229159866276)	(5.0, 1.168612023067305)	(6.0, 0.8661412830516028)	(7.0, 0.6817761187713186)	(8.0, 0.5323516263825825)	(9.0, 0.44773217603017235)	('>10', 6.789142128915169)	('>50', 2.892501865636904)	('>100', 6.704570132378401)	('>500', 3.511684692427211)	('>1k', 9.898672653475943)	('>5k', 4.483346290285917)	('>10k+', 30.62392309271354)
RNA-HELA-R2.0-raw.fastq	(1.0, 17.707297309155663)	(2.0, 7.119549843817095)	(3.0, 3.054241815489073)	(4.0, 1.7242054655405723)	(5.0, 1.1649273709145973)	(6.0, 0.7733001630115309)	(7.0, 0.6679506212539454)	(8.0, 0.509991936056266)	(9.0, 0.42156304855541216)	('>10', 6.660588182299076)	('>50', 3.0521778984049672)	('>100', 7.08416200968082)	('>500', 3.698342306313852)	('>1k', 11.96776650226336)	('>5k', 5.283380419470529)	('>10k+', 29.11055510777323)
RNA-HELA-R2.1-trimmed.SE.paired.trim.fastq.gz	(1.0, 17.681010576735222)	(2.0, 7.120820424051893)	(3.0, 3.045518871038129)	(4.0, 1.722972507576408)	(5.0, 1.162176355507636)	(6.0, 0.7714838295487424)	(7.0, 0.6685871477555259)	(8.0, 0.5065732560386333)	(9.0, 0.422085022168373)	('>10', 6.612415620811202)	('>50', 3.0334241697281357)	('>100', 7.0105780739933214)	('>500', 3.6754337349120125)	('>1k', 11.922555914291564)	('>5k', 5.252667994795261)	('>10k+', 29.39169650104805)
RNA-HELA-R3.0-raw.fastq	(1.0, 19.26239702832607)	(2.0, 6.487931097072249)	(3.0, 2.998573449612696)	(4.0, 1.8421403857501377)	(5.0, 1.222816206497549)	(6.0, 0.8860071942628315)	(7.0, 0.6773946732180695)	(8.0, 0.5743444499646848)	(9.0, 0.500142611760606)	('>10', 7.11722212535703)	('>50', 3.0567578283683483)	('>100', 6.895293192837887)	('>500', 3.801429147563843)	('>1k', 12.287790352537085)	('>5k', 5.278825662415178)	('>10k+', 27.11093459445581)
RNA-HELA-R3.1-trimmed.SE.paired.trim.fastq.gz	(1.0, 19.269352120971863)	(2.0, 6.482376158602153)	(3.0, 3.006454479327917)	(4.0, 1.833992216691253)	(5.0, 1.2206009153162127)	(6.0, 0.8916215287937455)	(7.0, 0.6730002381039375)	(8.0, 0.5738095750230072)	(9.0, 0.4959042529683348)	('>10', 7.1031580733918185)	('>50', 3.05296634483852)	('>100', 6.86686985312373)	('>500', 3.7907435186325604)	('>1k', 12.281226936297728)	('>5k', 5.271509956692029)	('>10k+', 27.18641383122539)
RNA-RRNA-KO-R1.0-raw.fastq	(1.0, 16.05402695093508)	(2.0, 7.652498722302588)	(3.0, 3.5639595156079804)	(4.0, 1.9839229756841916)	(5.0, 1.235281375431096)	(6.0, 0.9004738140185585)	(7.0, 0.712234820854941)	(8.0, 0.5960817470976927)	(9.0, 0.4810238866462176)	('>10', 6.900655443395383)	('>50', 2.7944919148484177)	('>100', 6.39495007960458)	('>500', 3.174839485201421)	('>1k', 10.775727919169178)	('>5k', 6.429926014204621)	('>10k+', 30.349905334998084)
RNA-RRNA-KO-R1.1-trimmed.SE.paired.trim.fastq.gz	(1.0, 16.058155238246112)	(2.0, 7.660449902012469)	(3.0, 3.5641590262668776)	(4.0, 1.9897926204495355)	(5.0, 1.234524732655983)	(6.0, 0.9091515354178872)	(7.0, 0.7033569290608171)	(8.0, 0.5961985476660716)	(9.0, 0.48413459444374435)	('>10', 6.884050829269439)	('>50', 2.7925801215657917)	('>100', 6.392361269876115)	('>500', 3.1691652696002577)	('>1k', 10.84814668886977)	('>5k', 6.48485686381617)	('>10k+', 30.22891583078294)
RNA-RRNA-KO-R2.0-raw.fastq	(1.0, 20.420143566229246)	(2.0, 7.5892492488227825)	(3.0, 3.401680298087073)	(4.0, 1.8446820688835237)	(5.0, 1.277052639661191)	(6.0, 0.9501744111214443)	(7.0, 0.7700586177668185)	(8.0, 0.5945784190345502)	(9.0, 0.5190717514190526)	('>10', 7.398568929949863)	('>50', 3.1879538248978703)	('>100', 7.626676549602171)	('>500', 3.973170313574904)	('>1k', 10.92794147899439)	('>5k', 5.358593103132161)	('>10k+', 24.16040477882294)
RNA-RRNA-KO-R2.1-trimmed.SE.paired.trim.fastq.gz	(1.0, 20.429308767608028)	(2.0, 7.586354914781797)	(3.0, 3.3999234769258133)	(4.0, 1.8438989964256618)	(5.0, 1.2690591754333107)	(6.0, 0.9466108253302405)	(7.0, 0.7713097313202533)	(8.0, 0.5903439820723394)	(9.0, 0.5189486206843402)	('>10', 7.367088778162499)	('>50', 3.175971081001118)	('>100', 7.604508872201777)	('>500', 3.960646566454455)	('>1k', 10.92020016270936)	('>5k', 5.432496861680356)	('>10k+', 24.183329187208564)
RNA-RRNA-KO-R3.0-raw.fastq	(1.0, 11.223552710914978)	(2.0, 7.499717481364156)	(3.0, 4.231013726833207)	(4.0, 2.306933036913418)	(5.0, 1.3293529098559265)	(6.0, 0.8888127575534038)	(7.0, 0.6891852551206162)	(8.0, 0.5575785082061309)	(9.0, 0.420823822005645)	('>10', 6.245003319476775)	('>50', 2.77573383355719)	('>100', 7.7209844220666675)	('>500', 3.9527952760119294)	('>1k', 11.853799745934944)	('>5k', 6.401965497697009)	('>10k+', 31.902747696488063)
RNA-RRNA-KO-R3.1-trimmed.SE.paired.trim.fastq.gz	(1.0, 11.224811114148956)	(2.0, 7.507758829165106)	(3.0, 4.226203537256479)	(4.0, 2.3020904187314373)	(5.0, 1.3238057516098858)	(6.0, 0.8877296498433228)	(7.0, 0.6887049969317888)	(8.0, 0.5632269060834152)	(9.0, 0.4182056985335829)	('>10', 6.23491364386851)	('>50', 2.768428395048984)	('>100', 7.699905917910793)	('>500', 3.9617642024355137)	('>1k', 11.88254953350096)	('>5k', 6.4503141364553525)	('>10k+', 31.859587268475977)
