Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28
RIBO-RRNA-KO-R1.1-trimmed.SE.paired.trim.fastq.gz	(22, 19.0)	(24, 25.0)	(26, 0.0)	(28, 8378.0)	(30, 14568.0)	(32, 48411.0)	(34, 33942.0)	(36, 40648.0)	(38, 38586.0)	(40, 44513.0)	(42, 34804.0)	(44, 30689.0)	(46, 39488.0)	(48, 37908.0)	(50, 47791.0)	(52, 80714.0)	(54, 72211.0)	(56, 66522.0)	(58, 57806.0)	(60, 79077.0)	(62, 79134.0)	(64, 144857.0)	(66, 157336.0)	(68, 258745.0)	(70, 580715.0)	(72, 1257647.0)	(74, 4604316.0)	(76, 46504408.0)	
RIBO-RRNA-KO-R1.2-filtered.unmapped.fastq.gz	(22, 5.0)	(24, 6.0)	(26, 0.0)	(28, 1125.0)	(30, 5875.0)	(32, 31969.0)	(34, 20520.0)	(36, 13530.0)	(38, 13300.0)	(40, 25540.0)	(42, 24109.0)	(44, 24717.0)	(46, 30935.0)	(48, 33405.0)	(50, 46264.0)	(52, 78779.0)	(54, 70831.0)	(56, 65738.0)	(58, 57194.0)	(60, 78209.0)	(62, 78533.0)	(64, 144095.0)	(66, 156869.0)	(68, 258319.0)	(70, 580620.0)	(72, 1257580.0)	(74, 4604145.0)	(76, 46503597.0)	
RIBO-RRNA-KO-R2.0-raw.fastq	(76, 50180944.0)																												
RIBO-RRNA-KO-R2.1-trimmed.SE.paired.trim.fastq.gz	(22, 9.0)	(24, 9.0)	(26, 0.0)	(28, 14099.0)	(30, 17723.0)	(32, 23555.0)	(34, 20164.0)	(36, 41495.0)	(38, 72559.0)	(40, 33942.0)	(42, 35667.0)	(44, 29290.0)	(46, 37290.0)	(48, 31217.0)	(50, 45689.0)	(52, 69203.0)	(54, 60041.0)	(56, 54478.0)	(58, 53325.0)	(60, 80039.0)	(62, 74898.0)	(64, 159409.0)	(66, 152819.0)	(68, 242252.0)	(70, 489869.0)	(72, 727912.0)	(74, 2927920.0)	(76, 44686071.0)	
RIBO-RRNA-KO-R2.2-filtered.unmapped.fastq.gz	(22, 2.0)	(24, 4.0)	(26, 0.0)	(28, 1439.0)	(30, 1959.0)	(32, 3482.0)	(34, 9493.0)	(36, 22180.0)	(38, 52968.0)	(40, 19554.0)	(42, 28552.0)	(44, 25567.0)	(46, 33216.0)	(48, 28820.0)	(50, 44381.0)	(52, 67551.0)	(54, 58595.0)	(56, 53633.0)	(58, 52705.0)	(60, 79135.0)	(62, 74355.0)	(64, 158613.0)	(66, 152368.0)	(68, 241810.0)	(70, 489689.0)	(72, 727843.0)	(74, 2927699.0)	(76, 44684883.0)	
RIBO-RRNA-KO-R3.0-raw.fastq	(76, 44792721.0)																												
RIBO-RRNA-KO-R3.1-trimmed.SE.paired.trim.fastq.gz	(22, 9.0)	(24, 9.0)	(26, 0.0)	(28, 13078.0)	(30, 13069.0)	(32, 52682.0)	(34, 19884.0)	(36, 32127.0)	(38, 39151.0)	(40, 43821.0)	(42, 31585.0)	(44, 29846.0)	(46, 36247.0)	(48, 44054.0)	(50, 51387.0)	(52, 73365.0)	(54, 68745.0)	(56, 61140.0)	(58, 65974.0)	(60, 106422.0)	(62, 130637.0)	(64, 254882.0)	(66, 303969.0)	(68, 390357.0)	(70, 748516.0)	(72, 1109426.0)	(74, 3674297.0)	(76, 37398042.0)	
RIBO-RRNA-KO-R3.2-filtered.unmapped.fastq.gz	(22, 4.0)	(24, 7.0)	(26, 0.0)	(28, 1977.0)	(30, 1999.0)	(32, 31559.0)	(34, 11670.0)	(36, 19358.0)	(38, 25813.0)	(40, 29048.0)	(42, 25677.0)	(44, 26282.0)	(46, 32277.0)	(48, 41972.0)	(50, 50449.0)	(52, 72318.0)	(54, 67950.0)	(56, 60739.0)	(58, 65680.0)	(60, 106041.0)	(62, 130375.0)	(64, 254571.0)	(66, 303768.0)	(68, 390166.0)	(70, 748446.0)	(72, 1109396.0)	(74, 3674202.0)	(76, 37397539.0)	
RNA-HELA-R1.0-raw.fastq	(76, 64429688.0)																												
RNA-HELA-R1.1-trimmed.SE.paired.trim.fastq.gz	(20, 51.0)	(22, 1583.0)	(24, 228.0)	(26, 574.0)	(28, 11012.0)	(30, 6341.0)	(32, 11922.0)	(34, 29571.0)	(36, 61399.0)	(38, 103568.0)	(40, 160701.0)	(42, 138187.0)	(44, 113161.0)	(46, 105645.0)	(48, 133872.0)	(50, 132120.0)	(52, 138567.0)	(54, 152103.0)	(56, 126475.0)	(58, 109479.0)	(60, 115302.0)	(62, 118261.0)	(64, 138625.0)	(66, 166800.0)	(68, 240815.0)	(70, 480006.0)	(72, 1651011.0)	(74, 3569620.0)	(76, 56412689.0)
RNA-HELA-R2.0-raw.fastq	(76, 65892929.0)																												
RNA-HELA-R2.1-trimmed.SE.paired.trim.fastq.gz	(20, 39.0)	(22, 1571.0)	(24, 249.0)	(26, 615.0)	(28, 8863.0)	(30, 5362.0)	(32, 9665.0)	(34, 18164.0)	(36, 45698.0)	(38, 89030.0)	(40, 193665.0)	(42, 263545.0)	(44, 146134.0)	(46, 147418.0)	(48, 163183.0)	(50, 157844.0)	(52, 205548.0)	(54, 192099.0)	(56, 148319.0)	(58, 126982.0)	(60, 133486.0)	(62, 140254.0)	(64, 159659.0)	(66, 187350.0)	(68, 247808.0)	(70, 395533.0)	(72, 946557.0)	(74, 3568465.0)	(76, 58189824.0)
RNA-HELA-R3.0-raw.fastq	(76, 68160780.0)																												
RNA-HELA-R3.1-trimmed.SE.paired.trim.fastq.gz	(20, 49.0)	(22, 1569.0)	(24, 228.0)	(26, 623.0)	(28, 6444.0)	(30, 3834.0)	(32, 6907.0)	(34, 9720.0)	(36, 19902.0)	(38, 29903.0)	(40, 57703.0)	(42, 75035.0)	(44, 77992.0)	(46, 82559.0)	(48, 91058.0)	(50, 92005.0)	(52, 101593.0)	(54, 129357.0)	(56, 107192.0)	(58, 98287.0)	(60, 111434.0)	(62, 118270.0)	(64, 142734.0)	(66, 173091.0)	(68, 232399.0)	(70, 384154.0)	(72, 687592.0)	(74, 3238645.0)	(76, 62080501.0)
RNA-RRNA-KO-R1.0-raw.fastq	(76, 57235829.0)																												
RNA-RRNA-KO-R1.1-trimmed.SE.paired.trim.fastq.gz	(20, 47.0)	(22, 1335.0)	(24, 181.0)	(26, 541.0)	(28, 5535.0)	(30, 4576.0)	(32, 9659.0)	(34, 9326.0)	(36, 14418.0)	(38, 24773.0)	(40, 49017.0)	(42, 54060.0)	(44, 47014.0)	(46, 50726.0)	(48, 58583.0)	(50, 67778.0)	(52, 86348.0)	(54, 88743.0)	(56, 77946.0)	(58, 70824.0)	(60, 79895.0)	(62, 83067.0)	(64, 102935.0)	(66, 130312.0)	(68, 191429.0)	(70, 349247.0)	(72, 874324.0)	(74, 2868055.0)	(76, 51835135.0)
RNA-RRNA-KO-R2.0-raw.fastq	(76, 61035120.0)																												
RNA-RRNA-KO-R2.1-trimmed.SE.paired.trim.fastq.gz	(20, 57.0)	(22, 1431.0)	(24, 190.0)	(26, 531.0)	(28, 5948.0)	(30, 3522.0)	(32, 6442.0)	(34, 10697.0)	(36, 24065.0)	(38, 45799.0)	(40, 67464.0)	(42, 68016.0)	(44, 62966.0)	(46, 65340.0)	(48, 71783.0)	(50, 74487.0)	(52, 83176.0)	(54, 108085.0)	(56, 91605.0)	(58, 82198.0)	(60, 93029.0)	(62, 96786.0)	(64, 116991.0)	(66, 142836.0)	(68, 196183.0)	(70, 317278.0)	(72, 553837.0)	(74, 2817643.0)	(76, 55826735.0)
RNA-RRNA-KO-R3.0-raw.fastq	(76, 58610292.0)																												
RNA-RRNA-KO-R3.1-trimmed.SE.paired.trim.fastq.gz	(20, 46.0)	(22, 1380.0)	(24, 197.0)	(26, 536.0)	(28, 5791.0)	(30, 3229.0)	(32, 8967.0)	(34, 10529.0)	(36, 21091.0)	(38, 33149.0)	(40, 50805.0)	(42, 48368.0)	(44, 42196.0)	(46, 44429.0)	(48, 58979.0)	(50, 63144.0)	(52, 70297.0)	(54, 83512.0)	(56, 73387.0)	(58, 66099.0)	(60, 75666.0)	(62, 78241.0)	(64, 98403.0)	(66, 128903.0)	(68, 186202.0)	(70, 338792.0)	(72, 754864.0)	(74, 2591014.0)	(76, 53672076.0)
