Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21
RIBO-RRNA-KO-R1.1-trimmed.SE.paired.trim.fastq.gz	(16.0, 1.0)	(17.0, 9.0)	(18.0, 16.0)	(19.0, 68.0)	(20.0, 294.0)	(21.0, 1045.0)	(22.0, 3792.0)	(23.0, 10260.0)	(24.0, 26096.0)	(25.0, 60457.0)	(26.0, 136897.0)	(27.0, 265935.0)	(28.0, 425977.0)	(29.0, 630428.0)	(30.0, 854578.0)	(31.0, 1150484.0)	(32.0, 1608303.0)	(33.0, 2677675.0)	(34.0, 7684916.0)	(35.0, 38826027.0)		
RIBO-RRNA-KO-R1.2-filtered.unmapped.fastq.gz	(17.0, 2.0)	(18.0, 8.0)	(19.0, 45.0)	(20.0, 231.0)	(21.0, 925.0)	(22.0, 3564.0)	(23.0, 9771.0)	(24.0, 25026.0)	(25.0, 58357.0)	(26.0, 132972.0)	(27.0, 260139.0)	(28.0, 418340.0)	(29.0, 621855.0)	(30.0, 845293.0)	(31.0, 1137435.0)	(32.0, 1591433.0)	(33.0, 2658589.0)	(34.0, 7652243.0)	(35.0, 38789581.0)			
RIBO-RRNA-KO-R2.0-raw.fastq	(14.0, 1.0)	(15.0, 7.0)	(16.0, 25.0)	(17.0, 46.0)	(18.0, 106.0)	(19.0, 796.0)	(20.0, 6561.0)	(21.0, 25379.0)	(22.0, 52827.0)	(23.0, 79658.0)	(24.0, 120645.0)	(25.0, 159712.0)	(26.0, 220735.0)	(27.0, 308770.0)	(28.0, 423528.0)	(29.0, 573575.0)	(30.0, 766701.0)	(31.0, 1032100.0)	(32.0, 1467823.0)	(33.0, 2452547.0)	(34.0, 6818679.0)	(35.0, 35670723.0)
RIBO-RRNA-KO-R2.1-trimmed.SE.paired.trim.fastq.gz	(16.0, 3.0)	(17.0, 8.0)	(18.0, 20.0)	(19.0, 98.0)	(20.0, 341.0)	(21.0, 1281.0)	(22.0, 4656.0)	(23.0, 12020.0)	(24.0, 26432.0)	(25.0, 56140.0)	(26.0, 117552.0)	(27.0, 244725.0)	(28.0, 424578.0)	(29.0, 607708.0)	(30.0, 801040.0)	(31.0, 1065021.0)	(32.0, 1491870.0)	(33.0, 2454306.0)	(34.0, 6738706.0)	(35.0, 36134439.0)		
RIBO-RRNA-KO-R2.2-filtered.unmapped.fastq.gz	(17.0, 3.0)	(18.0, 9.0)	(19.0, 57.0)	(20.0, 260.0)	(21.0, 1123.0)	(22.0, 4358.0)	(23.0, 11411.0)	(24.0, 25281.0)	(25.0, 54115.0)	(26.0, 114234.0)	(27.0, 239867.0)	(28.0, 418370.0)	(29.0, 600617.0)	(30.0, 793397.0)	(31.0, 1054397.0)	(32.0, 1477695.0)	(33.0, 2431538.0)	(34.0, 6703176.0)	(35.0, 36110588.0)			
RIBO-RRNA-KO-R3.0-raw.fastq	(15.0, 10.0)	(16.0, 43.0)	(17.0, 96.0)	(18.0, 194.0)	(19.0, 922.0)	(20.0, 6909.0)	(21.0, 23344.0)	(22.0, 45161.0)	(23.0, 89339.0)	(24.0, 126380.0)	(25.0, 168074.0)	(26.0, 217484.0)	(27.0, 296493.0)	(28.0, 398680.0)	(29.0, 530783.0)	(30.0, 699578.0)	(31.0, 946435.0)	(32.0, 1355245.0)	(33.0, 2329842.0)	(34.0, 6883996.0)	(35.0, 30673713.0)	
RIBO-RRNA-KO-R3.1-trimmed.SE.paired.trim.fastq.gz	(17.0, 16.0)	(18.0, 45.0)	(19.0, 122.0)	(20.0, 402.0)	(21.0, 1310.0)	(22.0, 4257.0)	(23.0, 11079.0)	(24.0, 24036.0)	(25.0, 53005.0)	(26.0, 116947.0)	(27.0, 236677.0)	(28.0, 370953.0)	(29.0, 528318.0)	(30.0, 709838.0)	(31.0, 958678.0)	(32.0, 1352149.0)	(33.0, 2279970.0)	(34.0, 6644973.0)	(35.0, 31499946.0)			
RIBO-RRNA-KO-R3.2-filtered.unmapped.fastq.gz	(17.0, 4.0)	(18.0, 14.0)	(19.0, 70.0)	(20.0, 302.0)	(21.0, 1150.0)	(22.0, 3953.0)	(23.0, 10566.0)	(24.0, 23023.0)	(25.0, 51248.0)	(26.0, 113908.0)	(27.0, 232494.0)	(28.0, 365388.0)	(29.0, 521951.0)	(30.0, 702357.0)	(31.0, 948151.0)	(32.0, 1339298.0)	(33.0, 2264018.0)	(34.0, 6623204.0)	(35.0, 31478184.0)			
RNA-HELA-R1.0-raw.fastq	(14.0, 4.0)	(15.0, 70.0)	(16.0, 278.0)	(17.0, 650.0)	(18.0, 1170.0)	(19.0, 2402.0)	(20.0, 7056.0)	(21.0, 16569.0)	(22.0, 34535.0)	(23.0, 99768.0)	(24.0, 246803.0)	(25.0, 364719.0)	(26.0, 394026.0)	(27.0, 485445.0)	(28.0, 589458.0)	(29.0, 728296.0)	(30.0, 896879.0)	(31.0, 1122054.0)	(32.0, 1508530.0)	(33.0, 2443190.0)	(34.0, 6785678.0)	(35.0, 48702108.0)
RNA-HELA-R1.1-trimmed.SE.paired.trim.fastq.gz	(15.0, 5.0)	(16.0, 25.0)	(17.0, 81.0)	(18.0, 212.0)	(19.0, 624.0)	(20.0, 1482.0)	(21.0, 3370.0)	(22.0, 6908.0)	(23.0, 13807.0)	(24.0, 29987.0)	(25.0, 67960.0)	(26.0, 146949.0)	(27.0, 280159.0)	(28.0, 451001.0)	(29.0, 643463.0)	(30.0, 853317.0)	(31.0, 1135981.0)	(32.0, 1592482.0)	(33.0, 2556659.0)	(34.0, 6694844.0)	(35.0, 49950372.0)	
RNA-HELA-R2.0-raw.fastq	(14.0, 2.0)	(15.0, 70.0)	(16.0, 323.0)	(17.0, 758.0)	(18.0, 1186.0)	(19.0, 2539.0)	(20.0, 6567.0)	(21.0, 15785.0)	(22.0, 32437.0)	(23.0, 79429.0)	(24.0, 206308.0)	(25.0, 372298.0)	(26.0, 432621.0)	(27.0, 548017.0)	(28.0, 673853.0)	(29.0, 868944.0)	(30.0, 1136528.0)	(31.0, 1459289.0)	(32.0, 1921539.0)	(33.0, 2778607.0)	(34.0, 5740801.0)	(35.0, 49615028.0)
RNA-HELA-R2.1-trimmed.SE.paired.trim.fastq.gz	(15.0, 3.0)	(16.0, 37.0)	(17.0, 86.0)	(18.0, 241.0)	(19.0, 634.0)	(20.0, 1447.0)	(21.0, 3361.0)	(22.0, 6863.0)	(23.0, 14293.0)	(24.0, 30305.0)	(25.0, 67096.0)	(26.0, 142443.0)	(27.0, 272249.0)	(28.0, 442039.0)	(29.0, 653201.0)	(30.0, 979882.0)	(31.0, 1488546.0)	(32.0, 2081033.0)	(33.0, 3046708.0)	(34.0, 6120926.0)	(35.0, 50541536.0)	
RNA-HELA-R3.0-raw.fastq	(14.0, 3.0)	(15.0, 57.0)	(16.0, 217.0)	(17.0, 585.0)	(18.0, 1112.0)	(19.0, 2110.0)	(20.0, 4985.0)	(21.0, 11711.0)	(22.0, 23624.0)	(23.0, 49739.0)	(24.0, 108533.0)	(25.0, 216466.0)	(26.0, 310039.0)	(27.0, 424509.0)	(28.0, 541846.0)	(29.0, 690386.0)	(30.0, 871506.0)	(31.0, 1109586.0)	(32.0, 1502723.0)	(33.0, 2389639.0)	(34.0, 6062112.0)	(35.0, 53839292.0)
RNA-HELA-R3.1-trimmed.SE.paired.trim.fastq.gz	(14.0, 1.0)	(15.0, 6.0)	(16.0, 25.0)	(17.0, 71.0)	(18.0, 200.0)	(19.0, 503.0)	(20.0, 1210.0)	(21.0, 2761.0)	(22.0, 6016.0)	(23.0, 12775.0)	(24.0, 28557.0)	(25.0, 64721.0)	(26.0, 136814.0)	(27.0, 255529.0)	(28.0, 418701.0)	(29.0, 611220.0)	(30.0, 836951.0)	(31.0, 1129180.0)	(32.0, 1571421.0)	(33.0, 2485508.0)	(34.0, 6080918.0)	(35.0, 54517692.0)
RNA-RRNA-KO-R1.0-raw.fastq	(14.0, 3.0)	(15.0, 57.0)	(16.0, 227.0)	(17.0, 589.0)	(18.0, 1059.0)	(19.0, 1920.0)	(20.0, 4422.0)	(21.0, 10007.0)	(22.0, 20703.0)	(23.0, 45672.0)	(24.0, 92408.0)	(25.0, 159535.0)	(26.0, 229807.0)	(27.0, 320768.0)	(28.0, 430240.0)	(29.0, 571489.0)	(30.0, 747488.0)	(31.0, 983857.0)	(32.0, 1369015.0)	(33.0, 2219756.0)	(34.0, 5406166.0)	(35.0, 44620641.0)
RNA-RRNA-KO-R1.1-trimmed.SE.paired.trim.fastq.gz	(14.0, 1.0)	(15.0, 7.0)	(16.0, 22.0)	(17.0, 63.0)	(18.0, 211.0)	(19.0, 518.0)	(20.0, 1171.0)	(21.0, 2441.0)	(22.0, 5246.0)	(23.0, 10769.0)	(24.0, 24510.0)	(25.0, 54990.0)	(26.0, 120403.0)	(27.0, 226692.0)	(28.0, 364657.0)	(29.0, 530717.0)	(30.0, 732783.0)	(31.0, 1001799.0)	(32.0, 1405517.0)	(33.0, 2246535.0)	(34.0, 5326845.0)	(35.0, 45179932.0)
RNA-RRNA-KO-R2.0-raw.fastq	(14.0, 4.0)	(15.0, 57.0)	(16.0, 223.0)	(17.0, 586.0)	(18.0, 1181.0)	(19.0, 2140.0)	(20.0, 4967.0)	(21.0, 11327.0)	(22.0, 22039.0)	(23.0, 51245.0)	(24.0, 123244.0)	(25.0, 203190.0)	(26.0, 266823.0)	(27.0, 364086.0)	(28.0, 470496.0)	(29.0, 605175.0)	(30.0, 769474.0)	(31.0, 985571.0)	(32.0, 1343804.0)	(33.0, 2129875.0)	(34.0, 5280842.0)	(35.0, 48398771.0)
RNA-RRNA-KO-R2.1-trimmed.SE.paired.trim.fastq.gz	(14.0, 2.0)	(15.0, 6.0)	(16.0, 21.0)	(17.0, 82.0)	(18.0, 227.0)	(19.0, 496.0)	(20.0, 1273.0)	(21.0, 2797.0)	(22.0, 5904.0)	(23.0, 12150.0)	(24.0, 26091.0)	(25.0, 59670.0)	(26.0, 124553.0)	(27.0, 231618.0)	(28.0, 375635.0)	(29.0, 548463.0)	(30.0, 751558.0)	(31.0, 1009696.0)	(32.0, 1410731.0)	(33.0, 2221385.0)	(34.0, 5330454.0)	(35.0, 48922308.0)
RNA-RRNA-KO-R3.0-raw.fastq	(14.0, 3.0)	(15.0, 62.0)	(16.0, 250.0)	(17.0, 589.0)	(18.0, 1157.0)	(19.0, 2142.0)	(20.0, 4930.0)	(21.0, 11065.0)	(22.0, 22184.0)	(23.0, 52826.0)	(24.0, 109518.0)	(25.0, 168856.0)	(26.0, 223471.0)	(27.0, 307354.0)	(28.0, 410379.0)	(29.0, 539528.0)	(30.0, 695961.0)	(31.0, 908382.0)	(32.0, 1256715.0)	(33.0, 2031784.0)	(34.0, 5172596.0)	(35.0, 46690540.0)
RNA-RRNA-KO-R3.1-trimmed.SE.paired.trim.fastq.gz	(15.0, 7.0)	(16.0, 23.0)	(17.0, 79.0)	(18.0, 212.0)	(19.0, 550.0)	(20.0, 1270.0)	(21.0, 2762.0)	(22.0, 5760.0)	(23.0, 11913.0)	(24.0, 25293.0)	(25.0, 55904.0)	(26.0, 119148.0)	(27.0, 223547.0)	(28.0, 356683.0)	(29.0, 512554.0)	(30.0, 693731.0)	(31.0, 929673.0)	(32.0, 1298479.0)	(33.0, 2074193.0)	(34.0, 5116840.0)	(35.0, 47181671.0)	
